trial,trial_display,random_sequence,allocation_concealment,blinding_performance,blinding_detection,attrition,selective_reporting,other
tesla,TESLA,Low risk,Low risk,High risk,Low risk,Low risk,Low risk,
distal,DISTAL,Low risk,Low risk,High risk,Low risk,Low risk,Low risk,
escapemevo,ESCAPE-MeVO,Low risk,Low risk,High risk,Low risk,Low risk,Low risk,
tension,TENSION,Low risk,Low risk,High risk,Low risk,Low risk,Low risk,
therapy,THERAPY,Unclear risk,Low risk,High risk,Low risk,Unclear risk,Low risk,Low risk
mrcleanlate,MR CLEAN-LATE,Low risk,Low risk,High risk,Low risk,Low risk,Low risk,
thrace,THRACE,Low risk,Low risk,High risk,Low risk,Unclear risk,Low risk,Low risk
piste,PISTE,Low risk,Low risk,High risk,Low risk,Low risk,Low risk,Low risk
positive,POSITIVE,Low risk,Low risk,High risk,Low risk,Low risk,Low risk,
resilient,RESILIENT,Low risk,Low risk,High risk,Low risk,Low risk,Low risk,Low risk
defuse3,DEFUSE-3,Low risk,Low risk,High risk,Low risk,Unclear risk,Low risk,Low risk
dawn,DAWN,Low risk,Low risk,High risk,Low risk,Low risk,Low risk,Low risk
basics,BASICS,Low risk,Low risk,High risk,Low risk,Low risk,Low risk,
best,BEST,Low risk,Low risk,High risk,Low risk,Low risk,Low risk,Unclear risk
baoche,BAOCHE,Low risk,Low risk,High risk,Low risk,Low risk,Low risk,
attention,ATTENTION,Low risk,Low risk,High risk,Low risk,Low risk,Low risk,
extendia,EXTEND-IA,Low risk,Low risk,High risk,Low risk,Low risk,Low risk,Unclear risk
swiftprime,SWIFT PRIME,Low risk,Low risk,High risk,Low risk,Low risk,Low risk,Low risk
escape,ESCAPE,Low risk,Low risk,High risk,Low risk,Low risk,Low risk,Unclear risk
revascat,REVASCAT,Low risk,Low risk,High risk,Low risk,Low risk,Low risk,Low risk
mrclean,MR CLEAN,Low risk,Low risk,High risk,Low risk,Low risk,Low risk,Low risk
ims3,IMS III,Low risk,Low risk,High risk,Low risk,Low risk,Low risk,Unclear risk
synthesis,SYNTHESIS,Low risk,Low risk,Unclear risk,Low risk,Low risk,Low risk,
mrrescue,MR RESCUE,Low risk,Low risk,High risk,Low risk,High risk,Low risk,Low risk
rescuejapan,RESCUE-Japan LIMIT,Low risk,Low risk,High risk,Low risk,Low risk,Low risk,
angel,ANGEL-ASPECT,Low risk,Low risk,High risk,Low risk,Low risk,Low risk,
select2,SELECT2,Low risk,Low risk,High risk,Low risk,Low risk,Low risk,
thrill,THRILL,Low risk,Unclear risk,High risk,Unclear risk,High risk,High risk,
easi,EASI,Low risk,Unclear risk,High risk,High risk,Low risk,Low risk,
laste,LASTE,Low risk,Low risk,High risk,Low risk,Low risk,Low risk,
